bucket_id|series_id
200000|4636
200000|6266
200005|478
200005|549
200005|391
200007|8574
200007|6303
200008|4092
200008|1735
200017|23890
200017|32399
200017|23891
200018|5566
200018|7560
200018|18862
200019|29346
200019|39664
200020|23259
200020|31556
200020|24073
200021|21079
200021|28680
200026|2222
200026|2223
200031|14555
200031|14642
200031|14556
200034|16424
200034|16425
200036|50153
200036|15356
200036|11199
200039|29653
200039|40093
200039|29654
200046|11913
200046|20455
200047|1290
200047|1732
200049|5444
200049|7377
200049|5427
200053|627
200053|70988
200055|10852
200055|10853
200060|19924
200060|20428
200060|15045
200060|15044
200065|12164
200065|16634
200070|5835
200070|5786
200070|5778
200071|13368
200071|18221
200072|312
200072|343
200074|793
200074|1080
200074|1937
200076|38497
200076|28467
200079|75663
200079|55809
200080|4953
200080|6697
200080|8498
200081|23525
200081|27878
200081|25330
200081|20484
200083|910
200083|1665
200083|39783
200083|39784
200083|39774
200083|39781
200083|39770
200085|30972
200085|41923
200088|3073
200088|4190
200089|52398
200089|70679
200092|5557
200092|7548
200093|29147
200093|1190
200093|942
200093|943
200093|944
200093|876
200093|4154
200093|20123
200093|948
200101|32543
200101|44070
200101|32544
200106|1859
200106|1942
200106|2299
200106|1387
200106|1386
200106|2229
200106|2230
200109|21150
200109|21497
200109|15821
200111|36764
200111|49455
200113|188
200113|635
200113|132
200115|28874
200115|22044
200121|18358
200121|24972
200123|14731
200123|796
200123|797
200123|803
200124|4326
200124|5864
200126|1218
200126|1481
200126|1202
200127|52969
200127|71511
200128|13959
200128|10176
200130|959
200130|2873
200133|2254
200133|3051
200139|14883
200139|14965
200141|27719
200141|37529
200149|8280
200149|11349
200149|53482
200157|800
200157|1242
200157|14743
200157|14744
200157|14738
200157|4844
200157|14740
200157|14745
200157|14735
200157|14739
200157|14746
200157|4745
200157|1661
200157|11306
200157|4743
200157|4742
200162|55
200162|54
200162|53
200163|33594
200163|20781
200165|30440
200165|41183
200167|11125
200167|15262
200175|10203
200175|13995
200175|10206
200175|10204
200175|10205
200176|5622
200176|7670
200176|19538
200176|3481
200176|3219
200176|2372
200176|19743
200179|24620
200179|5361
200179|24197
200179|5156
200179|5161
200180|15730
200180|15432
200180|15766
200180|15433
200187|8803
200187|6463
200194|1368
200194|1369
200197|29710
200197|31987
200197|57019
200197|23580
200200|9934
200200|9813
200205|11656
200205|16257
200205|20203
200207|108519
200207|85499
200210|29854
200210|29862
200211|53456
200211|72222
200212|4446
200212|10284
200212|10039
200212|8445
200212|3155
200214|18399
200214|18400
200216|23902
200216|184
200216|47
200216|26681
200216|23921
200217|3670
200217|4527
200217|3328
200219|55717
200219|75545
200220|54586
200220|73885
200227|32099
200227|43472
200231|5815
200231|32471
200234|25185
200234|34149
200243|18149
200243|18148
200244|1472
200244|1476
200244|4415
200244|4365
200244|1473
200244|1474
200244|1477
200244|2245
200244|1475
200246|124
200246|177
200246|895
200246|8081
200246|890
200246|760
200246|8088
200246|761
200246|513
200246|3684
200246|894
200246|8091
200246|5484
200246|8404
200246|8087
200246|759
200246|857
200246|898
200246|579
200246|8402
200246|8089
200248|9768
200248|4951
200248|9767
200248|12814
200248|12813
200250|16349
200250|22222
200250|16378
200250|16377
200252|31441
200252|42571
200253|76500
200253|56396
200257|33567
200257|45475
200259|5896
200259|5388
200259|4350
200259|4475
200262|8630
200262|11933
200272|468
200272|437
200276|6978
200276|9525
200276|10097
200276|6979
200276|17303
200276|26688
200276|10119
200276|6980
200276|10013
200276|6977
200277|1728
200277|2285
200277|8904
200277|1709
200277|1732
200277|1729
200277|1708
200278|29379
200278|39712
200288|29521
200288|29698
200289|9081
200289|9082
200291|30768
200291|835
200291|606
200297|26712
200297|16352
200300|22232
200300|30171
200303|4454
200303|4453
200303|5401
200304|29876
200304|40416
200304|29877
200307|5781
200307|7856
200307|15877
200308|31035
200308|31036
200309|28447
200309|20900
200312|5631
200312|7645
200317|5985
200317|5983
200317|5984
200318|40836
200318|55049
200318|40837
200322|13757
200322|18729
200324|613
200324|531
200324|378
200324|1637
200324|1108
200324|1253
200331|12647
200331|33657
200336|47945
200336|64619
200348|1546
200348|1147
200349|12410
200349|16982
200353|30940
200353|30951
200365|5275
200365|7167
200366|22308
200366|30271
200367|55920
200367|75814
200370|11341
200370|6307
200370|4666
200371|4619
200371|6245
200372|4293
200372|5819
200373|21059
200373|15601
200373|11389
200373|11385
200378|1242
200378|1653
200378|1228
200378|1654
200378|1241
200390|3965
200390|5369
200390|12321
200393|456
200393|640
200394|454
200394|43445
200396|13669
200396|18621
200397|25080
200397|34010
200399|30161
200399|40797
200403|17306
200403|4823
200403|3558
200404|24283
200404|17398
200404|12790
200404|12754
200404|12828
200404|12738
200409|51412
200409|69064
200412|62333
200412|108274
200420|12625
200420|9420
200420|9209
200420|9208
200422|23002
200422|69934
200423|30363
200423|41079
200437|23323
200437|23468
200437|9312
200442|7266
200442|7265
200443|12770
200443|12839
200446|4492
200446|6070
200446|38307
200446|4493
200446|13557
200446|4488
200447|84
200447|126
200447|85
200450|3841
200450|5190
200451|9640
200451|13212
200453|24342
200453|33013
200456|5701
200456|48039
200456|4202
200456|48038
200459|9213
200459|6880
200461|25266
200461|34246
200461|25265
200468|28188
200468|23714
200468|17443
200470|520
200470|723
200472|33111
200472|44841
200476|55718
200476|75546
200480|10175
200480|13958
200482|9399
200482|12882
200482|9398
200485|23517
200485|6542
200485|4813
200485|4861
200485|33674
200485|4812
200489|9798
200489|9802
200489|9019
200489|9020
200489|9021
200489|9018
200489|9022
200495|9035
200495|12535
200498|10162
200498|13938
200498|11040
200498|11039
200498|11042
200498|11041
200499|5706
200499|26245
200499|4205
200499|4206
200499|10213
200502|1135
200502|1529
200504|84019
200504|11339
200504|798
200504|4729
200509|19613
200509|19612
200510|15959
200510|15458
200512|20457
200512|19968
200512|20459
200515|56111
200515|76095
200516|32165
200516|28232
200520|22818
200520|30952
200532|2349
200532|3187
200532|21601
200532|49256
200532|8435
200532|3639
200533|6270
200533|9865
200533|4816
200533|4639
200538|12476
200538|12477
200538|13660
200538|12382
200541|11554
200541|15822
200541|24387
200542|31686
200542|24398
200542|17947
200559|1017
200559|1374
200567|57030
200567|77419
200571|31526
200571|42682
200574|6658
200574|9062
200574|6651
200576|913
200576|912
200576|914
200577|2475
200577|3356
200577|2473
200577|2474
200581|8495
200581|1977
200582|2251
200582|3047
200582|30383
200582|41106
200589|1419
200589|1721
200589|5717
200589|1282
200589|8807
200589|8805
200589|5770
200591|6077
200591|8266
200591|6076
200593|16844
200593|22894
200594|64620
200594|47946
200598|10367
200598|14211
200598|83854
200598|12722
200598|46299
200598|9282
200598|30816
200598|30955
200600|9036
200600|12536
200601|17073
200601|683
200601|685
200601|984
200601|662
200601|499
200601|555
200601|501
200601|986
200601|502
200602|9494
200602|5555
200602|4192
200602|10596
200602|10510
200602|8423
200602|13336
200602|4193
200602|4098
200602|21683
200602|13337
200603|53953
200603|72947
200607|3284
200607|4476
200607|3287
200607|3283
200610|32753
200610|32754
200612|15751
200612|9038
200615|45594
200615|61424
200615|45595
200617|210
200617|292
200617|19826
200618|32513
200618|44027
200619|6288
200619|8502
200620|18789
200620|18790
200620|18854
200623|4456
200623|4459
200625|28921
200625|11650
200625|8501
200625|8510
200625|8502
200626|26159
200626|35453
200626|26158
200630|69065
200630|51413
200639|756
200639|40264
200639|1568
200639|34553
200639|6914
200639|11671
200639|34550
200639|34571
200640|10524
200640|37060
200640|37059
200644|31698
200644|42920
200645|12662
200645|17298
200645|16834
200648|67383
200648|85045
200651|29159
200651|32346
200661|2742
200661|6342
200664|31431
200664|23168
200668|47532
200668|64020
200673|44217
200673|25866
200674|96478
200674|25905
200674|44283
200679|19258
200679|26602
200685|17075
200685|17518
200691|2051
200691|7160
200691|7170
200691|7169
200699|57103
200699|77521
200703|8040
200703|2850
200703|15415
200703|5037
200703|2109
200703|2108
200704|48620
200704|65359
200704|48496
200714|873
200714|1455
200714|874
200714|14803
200715|10295
200715|7281
200715|10296
200715|5357
200724|6331
200724|8825
200727|4755
200727|4417
200727|4756
200727|4418
200729|27236
200729|18784
200738|20384
200738|27745
200744|1748
200744|1747
200751|31280
200751|31281
200753|33304
200753|33305
200762|13231
200762|13139
200763|25914
200763|25915
200763|25916
200764|77117
200764|56815
200767|3979
200767|5388
200768|5731
200768|5732
200770|19609
200770|26681
200777|10463
200777|45683
200777|31968
200777|33853
200777|8551
200777|33847
200777|85174
200777|9775
200777|13402
200777|10482
200777|33849
200777|2287
200777|33850
200783|21828
200783|40946
200783|30265
200783|30261
200783|30262
200783|30263
200783|30264
200785|13930
200785|18939
200788|9504
200788|5301
200790|57187
200790|77636
200791|51001
200791|68775
200793|1992
200793|19563
200795|3257
200795|4437
200802|12633
200802|17260
200803|21120
200803|28736
200803|21121
200807|23667
200807|32102
200812|17022
200812|18291
200812|13419
200813|24849
200813|20332
200814|193
200814|4482
200814|4483
200814|3898
200814|236
200820|7229
200820|9863
200822|11636
200822|15931
200830|22928
200830|31099
200830|20356
200830|23750
200830|23752
200830|23751
200830|22929
200830|23754
200830|23749
200843|33544
200843|45444
200844|2982
200844|4073
200844|2983
200844|2984
200849|8278
200849|9222
200849|9079
200852|53819
200852|72752
200857|51615
200857|5054
200857|3734
200857|3735
200857|3736
200860|21932
200860|21926
200866|15577
200866|16876
200867|13499
200867|18402
200867|18403
200867|13501
200868|21025
200868|1698
200868|1697
200869|26055
200869|2032
200872|29344
200872|50049
200872|37004
200872|37036
200872|56049
200876|17292
200876|17293
200885|30746
200885|16078
200885|11745
200917|23488
200917|31861
200926|12493
200926|17087
200928|5775
200928|7848
200931|10002
200931|13723
200932|24608
200932|25139
200932|18489
200936|41246
200936|5505
200936|4062
200937|1170
200937|12881
200937|1140
200937|15728
200937|2212
200939|7738
200939|10565
200940|32127
200940|43510
200949|17241
200949|17240
200951|22519
200951|22517
200953|33211
200953|17128
200953|12523
200953|12522
200954|51189
200954|69038
200954|51235
200958|9534
200958|13063
200959|10944
200959|15001
200959|14596
200959|14598
200959|14597
200959|23285
200960|11122
200960|15258
200962|52870
200962|71366
200967|14590
200967|19829
200975|20231
200975|6962
200976|31026
200976|22874
200978|54505
200978|73768
200980|19248
200980|4624
200980|4623
200982|2608
200982|19169
200983|55378
200983|54173
200983|24920
200984|2875
200984|3912
200996|31349
200996|10976
200999|17276
200999|20571
200999|19961
200999|18367
200999|18234
200001|200606
200001|200666
200001|4763
200001|4825
200001|9253
200001|9252
200001|4608
200001|4765
200001|6440
200001|4762
200001|27110
200001|27118
200001|4764
200001|4609
200001|1350
200001|1351
200001|4767
201000|51689
201000|30300
201001|59201
201001|59202
201002|5774
201002|5772
201002|5773
201002|20726
201002|10250
201002|5722
201002|9806
201002|34732
201002|10251
201002|20783
201002|5768
201002|10457
201002|5767
201002|9712
201002|1469
201002|5744
201002|1417
201002|1050
