id|first_name|last_name|value
62437|Miyabi|Itou|236
59317|Toranosuke|Miyamura|414
57493|Nene|Odagiri|415
57491|Urara|Shiraishi|578
81907|Shinichi|Tamaki|129
57489|Ryuu|Yamada|450
98537|Midori|Arisugawa|19
81911|Ren|Asano|15
82757|Mikoto|Asuka|122
16242|Seiya|Chiba|151
140311|Aiko|Chikushi|10
81913|Saeko|Fukazawa|15
128459|Sora|Himekawa|39
127655|Masamune|Ichijou|10
68495|Ushio|Igarashi|19
128399|Jun|Inose|21
81919|Mitsuru|Kameda|22
140314|Akane|Kikuchi|10
140309|Tsubasa|Konno|15
127656|Yuuri|Miura|10
84499|Leona|Miyamura|246
120271|Kotori|Moegi|10
128457|Nancy||20
75268||Fokker|15
68497|Meiko|Ootsuka|135
89081|Rika|Saionji|164
123863|Takeru|Asou|19
79985|Maria|Sarushima|226
81909|Rin|Sasaki|15
81915|Keigo|Shibutani|10
12969|Daichi|Shinagawa|349
128824|Kiku|Sonoyama|10
159622|Alex|Spencer|10
80265|Noa|Takigawa|340
127654|Rui|Takuma|18
74345|Kentarou|Tsubaki|80
81917|Hideaki|Tsurukawa|10
82759|Tatsumi|Yamada|15
65885|Haruma|Yamazaki|90
140316|Kaori|Yasojima|35
13531|Shouta|Kazehaya|593
6977|Sawako|Kuronuma|674
13534|Ryuu|Sanada|490
13533|Ayane|Yano|451
112213|Satella|LeCoulte|10
13532|Chizuru|Yoshida|469
29975|Yoshiyuki|Arai|10
13535|Kazuichi|Arai|366
35595|Madame Shan||10
28460|Tomoko|Endou|15
28461|Eriko|Hirano|10
30264|Souichi|Jounouchi|90
49067|Kamemiya||15
21005|Isaac|McDougal|20
10966|Roa||10
140415|Haruka|Inokuma|108
29980|Youko|Kuronuma|27
29979|Father|Kuronuma|18
14117|Ume|Kurumizawa|367
48759|Maru||249
17874|Kento|Miura|259
40716|Mogi|Motoki|10
29977|Genji|Sanada|23
16725|Tooru|Sanada|80
52351|Tetsuko|Sanada|10
42091|Suname||10
87041|Sairaorg|Bael|251
39586|Chigusa|Takahashi|35
86037|Mother|Yano|10
97999|Chiaki|Yoshida|10
30266|Satoru|Furuya|358
30267|Kazuya|Miyuki|591
22998|Eijun|Sawamura|574
127853|Shinji|Akamatsu|18
210737|4℃||15
131916|Kousei|Amahisa|146
44274|Yukitaka|Akiha|15
93453|Wakana|Aotsuki|80
151430|Hirofumi|Asada|17
210733|Maid A||10
210736|Masked Man||10
105919|Former King||146
151432|Renji|Enjou|25
42945|Eisuke|Urushibara|10
149385|Masamune|Hongou|129
93421|Jun|Isashiki|203
111037|Carlos Toshiki|Kamiya|19
94583|Shinji|Kanemaru|55
94395|Tesshin|Kataoka|195
164153|Street Vendor||213
49501|Cello||69
42331|Colonel Cherry||23
53905|Father|Yoshida|10
29976|Yuka||10
20478|Kameyama|Duuke|28
25403|Shouji|Aizawa|10
32666|Eromes||27
40117|Athrun||10
40114|Buu||10
44579|Kanshichirou|Hashida|100
44581|Kantarou|Hashida|19
46953|Heidi||15
32204|Inoue||27
91899|Norifumi|Kawakami|129
30609|Kaikei||33
40112|Chato||10
56225|Takumi|Dezaki|10
40119|Edda||10
56089|Taeko|Furuna|10
43404|Kamiyama||15
32733|Kanbei||15
52927|Kanemaru||20
32194|Kariya||21
32193|Ken|Kato|15
47035|Michiko|Kawasaki|20
32236|Kirara||21
40118|Galle||10
40110|Ikari||10
50789|M||24
52165|Suiten|Ikaruga|10
46073|Marinosuke||28
32961|Utsuzo|Mashiroi|17
32657|Muu||15
52527|Mikako|Nakajima|15
56093|Genma|Isurugi|10
39520|Izabella||10
33076|Kaname|Izuma|33
25402|Kaoru|Jino|10
23248|Hajime|Kanzaki|311
54093|Isafuyu|Kashino|80
36117|Reiji|Kiriya|15
55455|Koma||16
56227|Shinobu|Kunieda|10
46633|Ittosai|Kunieda|10
56223|Kousei|Kuroki|10
127251|Inui|Kengo|15
127849|Rei|Kijima|23
6451|Okuni||15
46829|Omohidezake's Old Man||15
32246|Oonishi||15
226471|Noshiro||16
226486|Nuremberg||10
56219|Koutarou|Mikagami|10
40113|Nakata||10
33077|Shizuka|Nanami|36
25405|Shintarou|Natsume|234
85313|Odonel||10
39885|Father|Oga|69
39886|Mother|Oga|17
56221|Unshou|Onizuka|20
25401|Nene|Oomori|20
25656|Furcas|Rachmaninoff|20
55085|Gehl||15
39519|Sachura||22
56173|Takumi|Sadohara|10
46397|Secretary||23
32027|Mitsuteru|Sakaki|26
156767|Subaru|Hachiya|26
85315|Salamander||10
40109|Ryuuji|Sanada|26
56087|Ryuuichi|Sanada|10
39937|Zenjuuro|Saotome|69
85329|Schethalim||10
40111|Shimamura||10
39882|Shimokawa||189
31320|Ichirou|Shinjou|10
26220|Takeshi|Shiroyama|10
25404|Chiaki|Tanimura|176
85333|Tiriel||10
23247|Hidetora|Toujou|340
52929|Stainless Boy||15
47449|Store Manager||15
34149|Homeroom teacher||15
94579|Ryousuke|Kominato|284
55459|Kaoru|Umemiya|10
85327|Vabam||10
17135|Tsukasa|Morita|15
104849|Ino|Hatsuse|69
8754|Nao|Kadena|115
30829|Kazuya|Yamamura|15
39521|Yolda||20
28264|Juri|Mutou|257
191224|Kensuke|Shibagaki|90
167524|Tsubasa|Tanuma|115
33885|Naoko|Izumi|15
32668|Tomu||15
28263|Yuu||290
11781|Kaoru|Morita|55
148223|Furuhonichi no Kamisama||17
51273|Yuu||34
1999|Kana||234
70305|Manabu|Yasui|36
35096|Jirou|Inoue|55
153262|Mother|Mutou|10
149826|Kawaki||457
117791|Sarada|Uchiha|514
117517|Boruto|Uzumaki|548
3428|Shino|Aburame|441
127964|Chouchou|Akimichi|208
32205|Ichi|Terakado|17
123864|Hiromitsu|Ochiai|16
97569|Keisuke|Hirose|15
97943|Maria|Ishida|370
97577|Miyako|Ishida|331
97573|Miki|Kawai|140
28389|Nanako|Mizuki|69
12243|Julia|Murai|80
6236|Nagisa|Nagase|16
13227|Hidemi|Oota|15
6235|Toshiyuki|Saejima|146
6237|Ryoko|Sakurai|32
2008|Chouji|Akimichi|346
196875|Amado||39
106839|Miko||296
54129|Gozu||10
23420|Ao||10
146238|Okuyasu|Yokomizo|18
31274|Sei|Handa|583
32209|Unosuke|Harada|15
135215|Araya||30
198175|Boro||20
197395|Bug||10
69295|Haruichi|Kominato|406
169701|Kazuto|Koutari|32
129330|Yasushi|Kudou|15
93101|Youichi|Kuramochi|397
149946|Souichirou|Mima|69
130183|Daishikyou||15
626|Heinkel|Wolfe|160
3881|Takumi|Nomiya|283
50695|Gereta||15
55073|Botobai|Gigante|10
55079|Ginta||15
125884|Gyro||203
83379|Haruna||10
111631|Loupe|Highland|15
183472|Gou|Kazamatsuri|10
60203|Rieko|Ooe|15
23418|Choujuurou||90
197047|Code||189
201310|Daemon||27
23476|Darui||299
166064|Delta||80
217214|Doctor||10
195848|Eida||215
1662|Gaara||721
217812|Garou||10
55293|Gyuuki||55
128488|Tasuke|Kurokono|55
99437|Mei|Narumiya|349
94109|Yui|Natsukawa|22
55071|Pariston|Hill|451
85139|Hina||108
145889|Hiru||10
145748|Hishita||10
29805|Ikalgo||457
67207|Ivlenkov||10
199112|Ming|Jol-ik|10
55075|Kanzai||15
82859|Banana|Kavaro|20
33355|Kess||10
84077|Koala||135
114749|Rappa|Momochi|20
122467|Koushuu|Okumura|321
157866|Homeroom Teacher||15
109783|Akiko|Oowada|24
47171|Yuusei|Nishida|135
99167|Shunpei|Sanada|249
157867||Kokubu|182
127593|Takuma|Seto|20
109297|Kenjirou|Shirasu|20
159564|Minister of Agriculture||24
155511|Kengo|Kumakura|15
127770|Ajuka|Beelzebub|15
183442|Adele||15
72323|Oboro||232
97765|Fiel|Nirvalen|280
154709|Chiho|Sakura|16
157401|Gakuto|Sakurai|27
117075|Queen||115
32728|Kaoru|Waki|10
154708|Megumi|Takagi|16
159566|Robber||30
70297|Harunobu|Nikaidou|412
157254|Junkei|Yamazaki|69
154707|Sakutarou|Yanagihara|239
142623|Theresia||18
4608|Ryou|Fujibayashi|371
182279|Elena|Miyano|33
4606|Tomoya|Okazaki|730
4605|Kyou|Fujibayashi|614
147823|Eisaku|Noguchi|208
148359|Morio|Shigeta|80
31352|Touji|Souya|355
47173|Tsutomu|Komano|195
51289|Reiko|Mashima|35
51287|Taeko|Miyauchi|20
60125|Yukari|Nishida|15
47169|Kanade|Ooe|314
80127|Megumu|Ousaka|15
84549|Midori|Sakurazawa|160
79875|Anthony|Sorb|33
55335|Akito|Sudou|230
7095|Akio|Furukawa|603
6831|Sanae|Furukawa|448
103945|Asaemon|Ikeda|198
159561|Sakaba no Onna||18
97763|Chlammy|Zell|273
7286|Garbage Doll||236
9193|Girl from the Illusionary World||249
36919|Harada||26
179993|Syrup||316
27489|Tonko|Oniyama|23
182755|Crust||16
4601|Fuuko|Ibuki|611
6971|Kouko|Ibuki|135
